Date,Received,Sent,Total,Dial-up
2015-04-10,1474236593,33422489504,34896726097,0
2015-04-09,9761629436,24725305199,34486934635,0
2015-04-08,6167261330,10182183871,16349445201,0
2015-04-07,6785657105,46870709390,53656366495,0
2015-04-06,10840710052,57368834449,68209544501,0
2015-04-05,8055057710,17497584580,25552642290,0
2015-04-04,15359837393,375466508,15735303901,0
2015-04-03,16152247136,49387274593,65539521729,0
2015-04-02,10067993200,257154065,10325147265,0
2015-04-01,4201471398,29957230943,34158702341,0
2015-03-31,11612323487,52014821463,63627144950,0
2015-03-30,8210994964,89832291,8300827255,0
2015-03-29,5580471132,13545991363,19126462495,0
2015-03-28,13228232707,45406080501,58634313208,0
2015-03-27,8331914374,40997346454,49329260828,0
2015-03-26,25551425211,21383873227,46935298438,0
2015-03-25,7777983828,58967342464,66745326292,0
2015-03-24,17195150451,60269211464,77464361915,0
2015-03-23,6691097000,29723051309,36414148309,0
2015-03-22,7331429514,3185396286,10516825800,0
2015-03-21,4060384932,25764446802,29824831734,0
2015-03-20,11073947027,66816330362,77890277389,0
2015-03-19,8773884197,38397868536,47171752733,0
2015-03-18,1666841826,38037736891,39704578717,0
2015-03-17,16147312421,72200974504,88348286925,0
2015-03-16,3911690982,5666256656,9577947638,0
2015-03-15,7486216032,25943789325,33430005357,0
2015-03-14,23865766495,91977627995,115843394490,0
2015-03-13,4192899335,28915476215,33108375550,0
2015-03-12,8502783370,6565034238,15067817608,0
2015-03-11,8321983428,59351020513,67673003941,0
2015-03-10,4523215907,35455130511,39978346418,0
2015-03-09,3650942508,35913922788,39564865296,0
2015-03-08,5831210415,13098706024,18929916439,0
2015-03-07,15434725494,71320686831,86755412325,0
2015-03-06,11693821356,96986219100,108680040456,0
2015-03-05,7795235230,40740668602,48535903832,0
2015-03-04,3286926054,9582652395,12869578449,0
2015-03-03,16088330549,87830029969,103918360518,0
2015-03-02,13984044940,52183497097,66167542037,0
2015-03-01,21620397250,4446645183,26067042433,0
2015-02-28,10242448600,24625419409,34867868009,0
2015-02-27,13153186718,47865143877,61018330595,0
2015-02-26,6891407727,40064742636,46956150363,0
2015-02-25,9638198462,27587334439,37225532901,0
2015-02-24,12387459666,86369536210,98756995876,0
2015-02-23,3339804100,69050859695,72390663795,0
2015-02-22,7633163750,8673517665,16306681415,0
2015-02-21,15053443986,58121716016,73175160002,0
2015-02-20,8530847521,81025971021,89556818542,0
2015-02-19,16421887207,38992069996,55413957203,0
2015-02-18,7901367483,30972235893,38873603376,0
2015-02-17,8228333277,40439114814,48667448091,0
2015-02-16,9623674594,93487636004,103111310598,0
2015-02-15,11092331250,10144954292,21237285542,0
2015-02-14,15482503722,55403133274,70885636996,0
2015-02-13,10793565253,76435807158,87229372411,0
2015-02-12,29541564366,59688334585,89229898951,0
2015-02-11,10769219567,39793786569,50563006136,0
2015-02-10,21008461926,79306666993,100315128919,0
2015-02-09,14801355298,51274916111,66076271409,0
2015-02-08,16500823181,9174978099,25675801280,0
2015-02-07,9805308334,43627984842,53433293176,0
2015-02-06,9788114092,72845463441,82633577533,0
2015-02-05,11881138065,55452828018,67333966083,0
2015-02-04,8968520285,70227828227,79196348512,0
2015-02-03,15442883951,17806753110,33249637061,0
2015-02-02,4786012096,131192100,4917204196,0
2015-02-01,9955457393,23049888130,33005345523,0
2015-01-31,19541981660,88670239246,108212220906,0
2015-01-30,8140911231,75199992354,83340903585,0
2015-01-29,16468614513,35000820697,51469435210,0
2015-01-28,2335672467,33381574944,35717247411,0
2015-01-27,23000469339,24338630061,47339099400,0
2015-01-26,9309290201,53757723145,63067013346,0
2015-01-25,14153023914,16519218111,30672242025,0
2015-01-24,19876968501,38358589358,58235557859,0
2015-01-23,16899271625,49964574905,66863846530,0
2015-01-22,26957412606,25851849500,52809262106,0
2015-01-21,12765348473,33493763002,46259111475,0
2015-01-20,15930515815,44150521017,60081036832,0
2015-01-19,16930694952,14291469838,31222164790,0
2015-01-18,12003522543,131045995,12134568538,0
2015-01-17,18165990693,41907530767,60073521460,0
2015-01-16,14762885060,54130152745,68893037805,0
2015-01-15,29346584700,41717460332,71064045032,0
2015-01-14,27255731089,39861905909,67117636998,0
2015-01-13,7002084503,45282954711,52285039214,0
2015-01-12,9910049750,82063824931,91973874681,0
2015-01-11,6950089194,77400525,7027489719,0
2015-01-10,52909663541,54109757681,107019421222,0
2015-01-09,16563478276,84840511945,101403990221,0
2015-01-08,35103577285,35147868307,70251445592,0
2015-01-07,5401940145,16492801780,21894741925,0
2015-01-06,17123344976,25735694433,42859039409,0
2015-01-05,11460544579,52284833305,63745377884,0
2015-01-04,9824904890,13147425882,22972330772,0
2015-01-03,10282981117,24532585970,34815567087,0
2015-01-02,7864898590,251792150,8116690740,0
2015-01-01,32520504488,17332815876,49853320364,0
2014-12-31,13422532524,230262182,13652794706,0
2014-12-30,27874953130,393773495,28268726625,0
2014-12-29,14042375906,13298082678,27340458584,0
2014-12-28,25626898194,62885235420,88512133614,0
2014-12-27,18871097110,9279066967,28150164077,0
2014-12-26,12096378965,10133686970,22230065935,0
2014-12-25,36543380079,347162573,36890542652,0
2014-12-24,23128487639,441498603,23569986242,0
2014-12-23,26811059588,15768983471,42580043059,0
2014-12-22,6516302110,46223018130,52739320240,0
2014-12-21,11913264957,8382997173,20296262130,0
2014-12-20,51213851424,38411679714,89625531138,0
2014-12-19,2109376022,36807577480,38916953502,0
2014-12-18,30751349620,41617385831,72368735451,0
2014-12-17,41081302180,13371020880,54452323060,0
2014-12-16,18482630791,21400064282,39882695073,0
2014-12-15,20845111219,47989572203,68834683422,0
2014-12-14,27744392011,78625258390,106369650401,0
2014-12-13,30251975556,1065931313,31317906869,0
2014-12-12,19040290084,78333456826,97373746910,0
2014-12-11,25738143544,18299883020,44038026564,0
2014-12-10,13855894084,361680362,14217574446,0
2014-12-09,10239781934,48984158593,59223940527,0
2014-12-08,12133810527,43629288692,55763099219,0
2014-12-07,13466993893,21384832122,34851826015,0
2014-12-06,21302136938,21302353463,42604490401,0
2014-12-05,9282427728,61340428055,70622855783,0
2014-12-04,40011573517,24751598413,64763171930,0
2014-12-03,6378496650,47777013728,54155510378,0
2014-12-02,24303609451,49781616860,74085226311,0
2014-12-01,26767107211,31687193538,58454300749,0
2014-11-30,15397009451,89246479,15486255930,0
2014-11-29,32072628191,11428204991,43500833182,0
2014-11-28,2174816415,31679275820,33854092235,0
2014-11-27,22345479936,497634704,22843114640,0
2014-11-26,13116707000,29759307772,42876014772,0
2014-11-25,31357049000,20230804688,51587853688,0
2014-11-24,13468726128,18361757099,31830483227,0
2014-11-23,13746489544,7144757489,20891247033,0
2014-11-22,30117526828,14282924089,44400450917,0
2014-11-21,25703577782,23883432489,49587010271,0
2014-11-20,36090511867,29457860528,65548372395,0
2014-11-19,20447319018,37790707424,58238026442,0
2014-11-18,38763961406,19006120323,57770081729,0
2014-11-17,16454715955,24472509054,40927225009,0
2014-11-16,17549481131,15523240018,33072721149,0
2014-11-15,17722026385,428616703,18150643088,0
2014-11-14,14132463249,19629950154,33762413403,0
2014-11-13,28290944386,26035425801,54326370187,0
2014-11-12,17356126240,35306985745,52663111985,0
2014-11-11,3489351016,38274084948,41763435964,0
2014-11-10,7843740612,27598231798,35441972410,0
2014-11-09,4322326747,10566704968,14889031715,0
2014-11-08,18744467872,22519897385,41264365257,0
2014-11-07,8382491177,33575459739,41957950916,0
2014-11-06,22184158129,12553560228,34737718357,0
2014-11-05,21896024313,24773380043,46669404356,0
2014-11-04,16291479712,10652383520,26943863232,0
2014-11-03,6974222731,36042634997,43016857728,0
2014-11-02,5659320507,289961516,5949282023,0
2014-11-01,14541538220,12644462926,27186001146,0
2014-10-31,3131669740,26169318035,29300987775,0
2014-10-30,18537408941,9593123060,28130532001,0
2014-10-29,21235949583,20379057845,41615007428,0
2014-10-28,19619294334,24220164109,43839458443,0
2014-10-27,16736971020,26349214212,43086185232,0
2014-10-26,15592301071,5486761064,21079062135,0
2014-10-25,9372095485,11396338481,20768433966,0
2014-10-24,19122434038,959175271,20081609309,0
2014-10-23,20121143440,15185395619,35306539059,0
2014-10-22,44313474208,18242717556,62556191764,0
2014-10-21,2908826892,21032722367,23941549259,0
2014-10-20,10987215212,28377406009,39364621221,0
2014-10-19,19958600463,414472996,20373073459,0
2014-10-18,11828179534,29138016638,40966196172,0
2014-10-17,16074623130,6854991204,22929614334,0
2014-10-16,21226320978,28244740894,49471061872,0
2014-10-15,14470258086,19345567376,33815825462,0
2014-10-14,29169512512,22168250518,51337763030,0
2014-10-13,17457164049,17548564237,35005728286,0
2014-10-12,32258275731,339648019,32597923750,0
2014-10-11,14675618176,14795907738,29471525914,0
2014-10-10,10645682679,5564676148,16210358827,0
2014-10-09,13677434145,28557103988,42234538133,0
2014-10-08,17644453791,19570995504,37215449295,0
2014-10-07,24757527460,30878775053,55636302513,0
2014-10-06,21492002587,25974367327,47466369914,0
2014-10-05,25578833658,4896123232,30474956890,0
2014-10-04,73200179059,96324214807,169524393866,0
2014-10-03,68305530214,13191943246,81497473460,0
2014-10-02,17660826708,17143077551,34803904259,0
2014-10-01,15873540564,29228725978,45102266542,0
2014-09-30,18141849361,14916948196,33058797557,0
2014-09-29,18899236037,15391158906,34290394943,0
2014-09-28,8122666978,9714386245,17837053223,0
2014-09-27,25387184027,12824630453,38211814480,0
2014-09-26,10512456665,6354742045,16867198710,0
2014-09-25,32800097856,16009254115,48809351971,0
2014-09-24,13349529432,11760368880,25109898312,0
2014-09-23,15395024235,18515334601,33910358836,0
2014-09-22,11169654466,7750798753,18920453219,0
2014-09-21,18222831216,4537331543,22760162759,0
2014-09-20,18700902935,10968049600,29668952535,0
2014-09-19,16604945087,18251996761,34856941848,0
2014-09-18,22988189052,8759781672,31747970724,0
2014-09-17,13668950874,5885636386,19554587260,0
2014-09-16,19807932450,11240941564,31048874014,0
2014-09-15,10279955423,72563852796,82843808219,0
2014-09-14,42518999639,10675423340,53194422979,0
2014-09-13,12496520771,6155820642,18652341413,0
2014-09-12,18834453454,12230720868,31065174322,0
2014-09-11,40239193763,15474298640,55713492403,0
2014-09-10,2851305151,5822247498,8673552649,0
2014-09-09,16058510876,7608344642,23666855518,0
2014-09-08,8652330450,1348698258,10001028708,0
2014-09-07,11639539380,451232294,12090771674,0
2014-09-06,20939510195,10188189075,31127699270,0
2014-09-05,16236008133,1226585713,17462593846,0
2014-09-04,13072106748,15018601079,28090707827,0
2014-09-03,6955444539,949399484,7904844023,0
2014-09-02,17159977032,15683167648,32843144680,0
2014-09-01,11514454263,6356369617,17870823880,0
2014-08-31,18183174604,4484916024,22668090628,0
2014-08-30,20212153383,8055307148,28267460531,0
2014-08-29,5511477595,2577580610,8089058205,0
2014-08-28,8533361113,267574012,8800935125,0
2014-08-27,10485225624,11750997143,22236222767,0
2014-08-26,20064030726,12924059430,32988090156,0
2014-08-25,10079667858,267619536,10347287394,0
2014-08-24,6802802981,5284283186,12087086167,0
2014-08-23,9065871754,762435206,9828306960,0
2014-08-22,5670114925,4187406038,9857520963,0
2014-08-21,1905802364,42139018192,44044820556,0
2014-08-20,44998503486,36991250899,81989754385,0
2014-08-19,14266159265,3104323008,17370482273,0
2014-08-18,4928394259,7822918687,12751312946,0
2014-08-17,12471091601,346821136,12817912737,0
2014-08-16,5872384516,5830122917,11702507433,0
2014-08-15,5636607887,177875482,5814483369,0
2014-08-14,19937438409,13393672644,33331111053,0
2014-08-13,14352318187,7240860506,21593178693,0
2014-08-12,17102609179,2160340344,19262949523,0
2014-08-11,4884815347,11299688764,16184504111,0
2014-08-10,6056201264,160250647,6216451911,0
2014-08-09,7896071277,6303418903,14199490180,0
2014-08-08,24758260163,7568270969,32326531132,0
2014-08-07,24191325631,81345691834,105537017465,0
2014-08-06,46805158055,20557869419,67363027474,0
2014-08-05,22929421616,14764010078,37693431694,0
2014-08-04,15646463004,1926498359,17572961363,0
2014-08-03,2903307028,138995218,3042302246,0
2014-08-02,17018641132,11990392913,29009034045,0
2014-08-01,20190767537,24960099288,45150866825,0
2014-07-31,27819634949,43196743024,71016377973,0
2014-07-30,56065965458,80261262547,136327228005,0
2014-07-29,9449316558,4691616438,14140932996,0
2014-07-28,15370386427,15602139980,30972526407,0
2014-07-27,12472537932,12834381888,25306919820,0
2014-07-26,24752687980,46457356432,71210044412,0
2014-07-25,8351127048,8233915662,16585042710,0
2014-07-24,18332234408,1904129454,20236363862,0
2014-07-23,24870264625,539165982,25409430607,0
2014-07-22,32273983306,2961083973,35235067279,0
2014-07-21,16697371716,3348126938,20045498654,0
2014-07-20,21870792701,56006524497,77877317198,0
2014-07-19,18125495148,28618443029,46743938177,0
2014-07-18,24716301688,34514136865,59230438553,0
2014-07-17,66157374622,56317271614,122474646236,0
2014-07-16,20279950131,6192552620,26472502751,0
2014-07-15,15718267677,86992427419,102710695096,0
2014-07-14,51720526014,36609486541,88330012555,0
2014-07-13,57985179551,37841191034,95826370585,0
2014-07-12,18008242381,7628661347,25636903728,0
2014-07-11,8370221737,14232284918,22602506655,0
2014-07-10,34046576604,4791923791,38838500395,0
2014-07-09,14715249627,9998533043,24713782670,0
2014-07-08,50488302584,39735405181,90223707765,0
2014-07-07,15077544057,16430971876,31508515933,0
2014-07-06,25312397592,3825376934,29137774526,0
2014-07-05,19594932772,18236753071,37831685843,0
2014-07-04,34365078398,7672160666,42037239064,0
2014-07-03,85996949264,57495228054,143492177318,0
2014-07-02,7172722447,491283219,7664005666,0
2014-07-01,17187180300,1789894522,18977074822,0
2014-06-30,2369610294,833871987,3203482281,0
2014-06-29,21981563066,1124170681,23105733747,0
2014-06-28,15387194641,300242928,15687437569,0
2014-06-27,25862765942,3383912156,29246678098,0
2014-06-26,18850345345,6184287316,25034632661,0
2014-06-25,4805834126,6770758921,11576593047,0
2014-06-24,33988252725,5687740496,39675993221,0
2014-06-23,8851265282,6914977514,15766242796,0
2014-06-22,47454327713,2420024652,49874352365,0
2014-06-21,2682102593,89816923,2771919516,0
2014-06-20,12920746671,1997473846,14918220517,0
2014-06-19,27577344565,3355203657,30932548222,0
2014-06-18,20946656053,1251803773,22198459826,0
2014-06-17,20414714797,3991166357,24405881154,0
2014-06-16,22220004669,4665802083,26885806752,0
2014-06-15,22541031816,1068916638,23609948454,0
2014-06-14,11092163133,225381723,11317544856,0
2014-06-13,19773841061,1051522103,20825363164,0
2014-06-12,14882561477,536566053,15419127530,0
2014-06-11,17302846208,554987468,17857833676,0
2014-06-10,18704819549,2085704673,20790524222,0
2014-06-09,18497423605,4502182211,22999605816,0
2014-06-08,16277053741,280833378,16557887119,0
2014-06-07,5615604044,266549039,5882153083,0
2014-06-06,19643954560,308044846,19951999406,0
2014-06-05,15964369268,4435743392,20400112660,0
2014-06-04,20357962499,2201173312,22559135811,0
2014-06-03,35299981873,2990257595,38290239468,0
2014-06-02,13847791027,2039632627,15887423654,0
2014-06-01,16747093263,120100145,16867193408,0
2014-05-31,12139815489,1382116141,13521931630,0
2014-05-30,6921301671,164209214,7085510885,0
2014-05-29,22936919665,611179934,23548099599,0
2014-05-28,11407728822,304651749,11712380571,0
2014-05-27,27334281156,5807075580,33141356736,0
2014-05-26,3191849944,848027160,4039877104,0
2014-05-25,4586818782,267207532,4854026314,0
2014-05-24,11986187842,1438114621,13424302463,0
2014-05-23,11766696624,305336212,12072032836,0
2014-05-22,23843927383,1381273169,25225200552,0
2014-05-21,25719274367,595032848,26314307215,0
2014-05-20,25788087785,2158033827,27946121612,0
2014-05-19,18795651128,2211344300,21006995428,0
2014-05-18,18340414653,533049894,18873464547,0
2014-05-17,11176520652,389010018,11565530670,0
2014-05-16,11147196358,1576428888,12723625246,0
2014-05-15,20214187772,478702038,20692889810,0
2014-05-14,19122786195,1651677425,20774463620,0
2014-05-13,18869324036,2759380605,21628704641,0
2014-05-12,3609152072,2032229339,5641381411,0
2014-05-11,18069771027,138643246,18208414273,0
2014-05-10,13917018102,758636928,14675655030,0
2014-05-09,10943163806,1967632488,12910796294,0
2014-05-08,26060764570,639250387,26700014957,0
2014-05-07,15127551249,931144323,16058695572,0
2014-05-06,21894767185,4407522162,26302289347,0
2014-05-05,15500123333,3444020807,18944144140,0
2014-05-04,2455411014,203772047,2659183061,0
2014-05-03,12770674713,1569335905,14340010618,0
2014-05-02,10134989621,3367956735,13502946356,0
2014-05-01,14863027287,953269100,15816296387,0
2014-04-30,15331820973,603264071,15935085044,0
2014-04-29,25452243530,2981541035,28433784565,0
2014-04-28,10312392969,2485966560,12798359529,0
2014-04-27,19420478303,1224797698,20645276001,0
2014-04-26,4875936900,2315701964,7191638864,0
2014-04-25,16589242834,3715470606,20304713440,0
2014-04-24,25086165021,2846960774,27933125795,0
2014-04-23,13222726331,2639939312,15862665643,0
2014-04-22,25422010430,1351729981,26773740411,0
2014-04-21,6124665656,2239026249,8363691905,0
2014-04-20,19892853576,228335043,20121188619,0
2014-04-19,19984527047,271744114,20256271161,0
2014-04-18,14819653638,791430773,15611084411,0
2014-04-17,22801587175,690551393,23492138568,0
2014-04-16,11411386706,314307417,11725694123,0
2014-04-15,17393553207,609029946,18002583153,0
2014-04-14,19225434510,2526282908,21751717418,0
2014-04-13,939804140,223421277,1163225417,0
2014-04-12,9475659247,1047317972,10522977219,0
2014-04-11,14050772895,1878472654,15929245549,0
2014-04-10,17296587333,801421518,18098008851,0
2014-04-09,15224938143,939565217,16164503360,0
2014-04-08,12412777090,717099809,13129876899,0
2014-04-07,11141071892,2462458597,13603530489,0
2014-04-06,13323702096,382712376,13706414472,0
2014-04-05,12258961179,941055604,13200016783,0
2014-04-04,21126141877,2202907832,23329049709,0
2014-04-03,12014484774,643981473,12658466247,0
2014-04-02,12221675400,637878117,12859553517,0
2014-04-01,17252127730,534307673,17786435403,0
2014-03-31,6509424383,834568775,7343993158,0
2014-03-30,8677548042,653855290,9331403332,0
2014-03-29,9912114264,1080123316,10992237580,0
2014-03-28,9471918227,695230044,10167148271,0
2014-03-27,18928286291,1619118301,20547404592,0
2014-03-26,14448913202,1128552228,15577465430,0
2014-03-25,15509713047,1112357936,16622070983,0
2014-03-24,3776007008,1940577463,5716584471,0
2014-03-23,26536731167,714773489,27251504656,0
2014-03-22,23389271213,2323035900,25712307113,0
2014-03-21,11384662886,1167220737,12551883623,0
2014-03-20,15943562615,288276974,16231839589,0
2014-03-19,8993580483,769017105,9762597588,0
2014-03-18,13776130137,578776297,14354906434,0
2014-03-17,16517336050,1147394595,17664730645,0
2014-03-16,6175497106,139902811,6315399917,0
2014-03-15,12058726108,1382847453,13441573561,0
2014-03-14,7299007934,1588621015,8887628949,0
2014-03-13,14936248437,742910298,15679158735,0
2014-03-12,16132754389,7729865649,23862620038,0
2014-03-11,20421782824,2583184320,23004967144,0
2014-03-10,3051316460,468939207,3520255667,0
2014-03-09,7767120982,131250594,7898371576,0
2014-03-08,14579198824,6932974138,21512172962,0
2014-03-07,16238397757,8549937281,24788335038,0
2014-03-06,18663532033,8461667333,27125199366,0
2014-03-05,18836327785,8813165271,27649493056,0
2014-03-04,43251820068,4607424535,47859244603,0
2014-03-03,8142093143,180225057,8322318200,0
2014-03-02,16237173456,847261403,17084434859,0
2014-03-01,14111441081,1006962908,15118403989,0
2014-02-28,24279295652,1648107041,25927402693,0
2014-02-27,8451794668,1202223895,9654018563,0
2014-02-26,15967414426,2003994040,17971408466,0
2014-02-25,19931958264,476566692,20408524956,0
2014-02-24,16122005176,1294617912,17416623088,0
2014-02-23,41403178369,695009837,42098188206,0
2014-02-22,19878384872,1250306008,21128690880,0
2014-02-21,30439170313,220680507,30659850820,0
2014-02-20,17001684906,621666107,17623351013,0
2014-02-19,14253201034,1085410183,15338611217,0
2014-02-18,12089754063,1583953403,13673707466,0
2014-02-17,11957576198,1464078699,13421654897,0
2014-02-16,8176278183,520037407,8696315590,0
2014-02-15,6271101344,639823158,6910924502,0
2014-02-14,8231311340,461573176,8692884516,0
2014-02-13,15552402017,1772255838,17324657855,0
2014-02-12,13315689395,2128754112,15444443507,0
2014-02-11,19475187450,3016679043,22491866493,0
2014-02-10,8709274754,1209457466,9918732220,0
2014-02-09,19915682315,635713198,20551395513,0
2014-02-08,7503503809,108653736,7612157545,0
2014-02-07,11637288564,2030674417,13667962981,0
2014-02-06,12258396263,848280972,13106677235,0
2014-02-05,24052688582,1318571791,25371260373,0
2014-02-04,14485609400,2785110676,17270720076,0
2014-02-03,9019214861,1205934886,10225149747,0
2014-02-02,6342984448,841275887,7184260335,0
2014-02-01,8515194368,458707340,8973901708,0
2014-01-31,8613865310,1734079199,10347944509,0
2014-01-30,12733946959,2179461964,14913408923,0
2014-01-29,11193280204,475612116,11668892320,0
2014-01-28,19532345002,541737992,20074082994,0
2014-01-27,13085446172,1826023272,14911469444,0
2014-01-26,18692374514,266643117,18959017631,0
2014-01-25,9054317392,1004977706,10059295098,0
2014-01-24,8001809683,356006334,8357816017,0
2014-01-23,9914079437,631156117,10545235554,0
2014-01-22,16787831504,4595295330,21383126834,0
2014-01-21,16685223243,2058322552,18743545795,0
2014-01-20,8592777915,2867674004,11460451919,0
2014-01-19,18719226915,221217150,18940444065,0
2014-01-18,14289348078,1609399766,15898747844,0
2014-01-17,8322399053,2745590573,11067989626,0
2014-01-16,13571522169,909712268,14481234437,0
2014-01-15,12157225990,1748983898,13906209888,0
2014-01-14,17832927962,6317980926,24150908888,0
2014-01-13,11084613745,3072425409,14157039154,0
2014-01-12,8800801889,407422523,9208224412,0
2014-01-11,16292760394,1485363470,17778123864,0
2014-01-10,26134721393,4813629913,30948351306,0
2014-01-09,8624726474,226099591,8850826065,0
2014-01-08,21394159929,977220395,22371380324,0
2014-01-07,16214367284,3300935524,19515302808,0
2014-01-06,16567989928,1200057540,17768047468,0
2014-01-05,13857413195,277580522,14134993717,0
2014-01-04,23859353007,837118138,24696471145,0
2014-01-03,4785550348,4403829091,9189379439,0
2014-01-02,12360089860,3914786053,16274875913,0
2014-01-01,16217473245,1311015728,17528488973,0
2013-12-31,13849429570,576277266,14425706836,0
2013-12-30,15561282050,563613253,16124895303,0
2013-12-29,18625153535,122114017,18747267552,0
2013-12-28,12992074558,118302563,13110377121,0
2013-12-27,27955757313,8185230842,36140988155,0
2013-12-26,19036196297,1596461861,20632658158,0
2013-12-25,8472547091,121607537,8594154628,0
2013-12-24,2996613129,132090097,3128703226,0
2013-12-23,3159069401,108322543,3267391944,0
2013-12-22,4464327160,206271409,4670598569,0
2013-12-21,8073509446,1751444548,9824953994,0
2013-12-20,10427616498,1841573797,12269190295,0
2013-12-19,4034635533,1922322682,5956958215,0
2013-12-18,8196739859,5452712185,13649452044,0
2013-12-17,12054962641,4849627515,16904590156,0
2013-12-16,17946366139,6866150676,24812516815,0
2013-12-15,16170961414,5438152002,21609113416,0
2013-12-14,10252031138,6450710576,16702741714,0
2013-12-13,10607687610,3521175249,14128862859,0
2013-12-12,6392095086,4237063934,10629159020,0
2013-12-11,8698741684,5331919904,14030661588,0
2013-12-10,3155068468,4840841346,7995909814,0
2013-12-09,8424308557,4592531123,13016839680,0
2013-12-08,13320047349,2489589884,15809637233,0
2013-12-07,5145610652,824469054,5970079706,0
2013-12-06,7774800245,4746226082,12521026327,0
2013-12-05,4046834979,2639679012,6686513991,0
2013-12-04,11080869852,3182128111,14262997963,0
2013-12-03,5950411432,2752208226,8702619658,0
2013-12-02,7347593723,2959054597,10306648320,0
2013-12-01,14401673639,4672292215,19073965854,0
2013-11-30,2340283955,942937571,3283221526,0
2013-11-29,2952814113,8024032344,10976846457,0
2013-11-28,1920290169,8564598730,10484888899,0
2013-11-27,4279290801,9117692945,13396983746,0
2013-11-26,1665051669,9388131694,11053183363,0
2013-11-25,37670874142,8375012024,46045886166,0
2013-11-24,10004006925,1408446084,11412453009,0
2013-11-23,17467307989,1796948806,19264256795,0
2013-11-22,27650743455,1757562958,29408306413,0
2013-11-21,15825203442,2453271660,18278475102,0
2013-11-20,39431253568,3463263424,42894516992,0
2013-11-19,13959102823,4735815114,18694917937,0
2013-11-18,45651079727,7655971562,53307051289,0
2013-11-17,14102294886,3997444154,18099739040,0
